assembly_id,contig_id,contig_len,plasmid_id,plasmid_name,strain,query_length,ref_length,overall_percent_identity,query_covered_length,ref_covered_length,covered_intervals,query_intervals,subject_hit_coords,query_coverage_percent,call_method
ESI26H,contig_9 [gcode=11] [topology=linear],26508,NE_5261_cp26_ParA_1,cp26,NE_5261,26508,253,100.0,758,252,"[(1, 253)]","[(434, 1192)]","[(1, 253)]",2.859514108948242,pf32
ESI361H,contig_1 [gcode=11] [topology=linear],909934,B379_chromosome_ParA_2,chromosome,B379,909934,380,99.72677595628416,1097,365,"[(1, 366)]","[(368494, 369591)]","[(1, 366)]",0.1205581943305778,pf32
ESI361H,contig_10 [gcode=11] [topology=linear],3866,O32_B31_cp32-7_ParA_X,cp32-7,O32,3866,249,100.0,746,248,"[(1, 249)]","[(2193, 2939)]","[(1, 249)]",19.296430419037765,pf32
ESI361H,contig_11 [gcode=11] [topology=linear],3395,gb|CP001208.1|,cp32-4,ZS7,3395,30964,97.91360564208053,3394,3389,"[(16641, 20030)]","[(1, 3395)]","[(16641, 20030)]",99.97054491899851,wp
ESI361H,contig_2 [gcode=11] [topology=linear],56559,RS01335_MM1_plsm_lp36_ParA_X,lp36,RS01335,56559,249,100.0,728,242,"[(1, 243)]","[(16492, 17220)]","[(1, 243)]",1.287151470146219,pf32
ESI361H,contig_3 [gcode=11] [topology=linear],52615,A20_B31_lp54_ParA_X,lp54,A20,52615,250,100.0,749,249,"[(1, 250)]","[(38314, 39063)]","[(1, 250)]",1.4235484177515918,pf32
ESI361H,contig_4 [gcode=11] [topology=linear],29589,Q40_B31_lp56_ParA_X,lp56,Q40,29589,251,99.601593625498,752,250,"[(1, 251)]","[(27230, 27982)]","[(1, 251)]",2.541485011321775,pf32
ESI361H,contig_5 [gcode=11] [topology=linear],28638,RS01295_JD1_JD1_cp32-1+5_ParA_X,cp32-1+5,RS01295,28638,257,100.0,770,256,"[(1, 257)]","[(24316, 25086)]","[(1, 257)]",2.688735246874782,pf32
ESI361H,contig_6 [gcode=11] [topology=linear],28079,RS00880_JD1_JD1_cp32-11_ParA_X,cp32-11,RS00880,28079,252,99.57805907172995,710,236,"[(16, 252)]","[(7015, 7725)]","[(16, 252)]",2.5285800776380927,pf32
ESI361H,contig_7 [gcode=11] [topology=linear],26516,MM1_cp26_ParA_1,cp26,MM1,26516,253,100.0,758,252,"[(1, 253)]","[(94, 852)]","[(1, 253)]",2.858651380298688,pf32
ESI361H,contig_8 [gcode=11] [topology=linear],24840,RS00670_JD1_JD1_lp25_ParA_X,lp25,RS00670,24840,252,99.6031746031746,755,251,"[(1, 252)]","[(11790, 12545)]","[(1, 252)]",3.0394524959742357,pf32
ESI361H,contig_9 [gcode=11] [topology=linear],18047,RS00875_MM1_plsm_lp17_ParA_X,lp17,RS00875,18047,246,100.0,725,241,"[(1, 242)]","[(2768, 3493)]","[(1, 242)]",4.017288191943259,pf32
ESI403H,contig_1 [gcode=11] [topology=linear],910442,NE_5261_chromosome_ParA_2,chromosome,NE_5261,910442,380,100.0,1097,365,"[(1, 366)]","[(368717, 369814)]","[(1, 366)]",0.1204909263852063,pf32
ESI403H,contig_10 [gcode=11] [topology=linear],29808,RS06245_ZS7_ZS7_lp28-2_ParA_X,lp28-2,RS06245,29808,255,100.0,764,254,"[(1, 255)]","[(23082, 23846)]","[(1, 255)]",2.563070316693505,pf32
ESI403H,contig_11 [gcode=11] [topology=linear],26514,NE_5261_cp26_ParA_1,cp26,NE_5261,26514,253,100.0,758,252,"[(1, 253)]","[(21225, 21983)]","[(1, 253)]",2.8588670136531644,pf32
ESI403H,contig_12 [gcode=11] [topology=linear],25492,RS05930_ZS7_ZS7_lp28-4_ParA_X,lp28-4,RS05930,25492,250,100.0,749,249,"[(1, 250)]","[(12496, 13245)]","[(1, 250)]",2.938176682880904,pf32
ESI403H,contig_13 [gcode=11] [topology=linear],24417,RS00040_ZS7_ZS7_lp25_ParA_X,lp25,RS00040,24417,252,100.0,755,251,"[(1, 252)]","[(11501, 12256)]","[(1, 252)]",3.092107957570545,pf32
ESI403H,contig_14 [gcode=11] [topology=linear],23639,O32_B31_cp32-7_ParA_X,cp32-7,O32,23639,249,99.59839357429718,746,248,"[(1, 249)]","[(11638, 12384)]","[(1, 249)]",3.155801852870257,pf32
ESI403H,contig_15 [gcode=11] [topology=linear],11798,F24_B31_lp28-1_ParA_X,lp28-1,F24,11798,254,100.0,761,253,"[(1, 254)]","[(3875, 4636)]","[(1, 254)]",6.450245804373623,pf32
ESI403H,contig_16 [gcode=11] [topology=linear],9095,DN127_cp9_ParA_X,cp9,DN127,9095,246,91.869918699187,737,245,"[(1, 246)]","[(4607, 5344)]","[(1, 246)]",8.10335349092908,pf32
ESI403H,contig_17 [gcode=11] [topology=linear],3518,gb|CP001210.1|,lp28-1,ZS7,3518,23422,99.94321408290745,3520,3520,"[(20953, 21947), (18400, 20926)]","[(992, 3518), (1, 995)]","[(20926, 18400), (21947, 20953)]",100.0568504832291,wp
