Isolate,plasmid,presence,color
ASM2466215v1,cp32-7,cp32-7,#ff8ec8
ASM2466217v1,cp32-7,cp32-7,#ff8ec8
ASM2466219v1,cp32-7,cp32-7,#ff8ec8
ASM336729v1,cp32-7,cp32-7,#ff8ec8
ASM4079073v1,cp32-7,cp32-7,#ff8ec8
ASM4079074v1,cp32-7,cp32-7,#ff8ec8
ASM4079077v1,cp32-7,cp32-7,#ff8ec8
ASM4079078v1,cp32-7,cp32-7,#ff8ec8
ASM4079079v1,cp32-7,cp32-7,#ff8ec8
B331P,cp32-7,cp32-7,#ff8ec8
B418P,cp32-7,cp32-7,#ff8ec8
B500P,cp32-7,cp32-7,#ff8ec8
ESI361H,cp32-7,cp32-7,#ff8ec8
ESI403H,cp32-7,cp32-7,#ff8ec8
ESI425H,cp32-7,cp32-7,#ff8ec8
PFhe_I_PB_Ill_cons,cp32-7,cp32-7,#ff8ec8
UCT109H,cp32-7,cp32-7,#ff8ec8
UCT110H,cp32-7,cp32-7,#ff8ec8
UCT113H,cp32-7,cp32-7,#ff8ec8
UCT124H,cp32-7,cp32-7,#ff8ec8
UCT29H,cp32-7,cp32-7,#ff8ec8
UCT30H,cp32-7,cp32-7,#ff8ec8
UCT31H,cp32-7,cp32-7,#ff8ec8
UCT32H,cp32-7,cp32-7,#ff8ec8
UCT35H,cp32-7,cp32-7,#ff8ec8
UCT50H,cp32-7,cp32-7,#ff8ec8
UCT92H,cp32-7,cp32-7,#ff8ec8
UCT96H,cp32-7,cp32-7,#ff8ec8
UNY1038P,cp32-7,cp32-7,#ff8ec8
UNY1085P,cp32-7,cp32-7,#ff8ec8
UNY1090P,cp32-7,cp32-7,#ff8ec8
UNY149P,cp32-7,cp32-7,#ff8ec8
UNY169P,cp32-7,cp32-7,#ff8ec8
UNY172P,cp32-7,cp32-7,#ff8ec8
UNY193P,cp32-7,cp32-7,#ff8ec8
UNY203P,cp32-7,cp32-7,#ff8ec8
UNY208P,cp32-7,cp32-7,#ff8ec8
URI101H,cp32-7,cp32-7,#ff8ec8
URI102H,cp32-7,cp32-7,#ff8ec8
URI103H,cp32-7,cp32-7,#ff8ec8
URI107H,cp32-7,cp32-7,#ff8ec8
URI111H,cp32-7,cp32-7,#ff8ec8
URI112H,cp32-7,cp32-7,#ff8ec8
URI117H,cp32-7,cp32-7,#ff8ec8
URI118H,cp32-7,cp32-7,#ff8ec8
URI120H,cp32-7,cp32-7,#ff8ec8
URI34H,cp32-7,cp32-7,#ff8ec8
URI36H,cp32-7,cp32-7,#ff8ec8
URI39H,cp32-7,cp32-7,#ff8ec8
URI40H,cp32-7,cp32-7,#ff8ec8
URI41H,cp32-7,cp32-7,#ff8ec8
URI42H,cp32-7,cp32-7,#ff8ec8
URI44H,cp32-7,cp32-7,#ff8ec8
URI46H,cp32-7,cp32-7,#ff8ec8
URI47H,cp32-7,cp32-7,#ff8ec8
URI56H,cp32-7,cp32-7,#ff8ec8
URI86H,cp32-7,cp32-7,#ff8ec8
URI87H,cp32-7,cp32-7,#ff8ec8
URI88H,cp32-7,cp32-7,#ff8ec8
URI89H,cp32-7,cp32-7,#ff8ec8
URI91H,cp32-7,cp32-7,#ff8ec8
URI93H,cp32-7,cp32-7,#ff8ec8
UWI247P,cp32-7,cp32-7,#ff8ec8
UWI248P,cp32-7,cp32-7,#ff8ec8
XYZ459H,cp32-7,cp32-7,#ff8ec8
ASM1913465v1,lp28-4,lp28-4,#79525e
ASM2466215v1,lp28-4,lp28-4,#79525e
ASM2466217v1,lp28-4,lp28-4,#79525e
ASM2466219v1,lp28-4,lp28-4,#79525e
ASM336729v1,lp28-4,lp28-4,#79525e
ASM4079071v1,lp28-4,lp28-4,#79525e
ASM4079073v1,lp28-4,lp28-4,#79525e
ASM4079074v1,lp28-4,lp28-4,#79525e
ASM4079075v1,lp28-4,lp28-4,#79525e
ASM4079076v1,lp28-4,lp28-4,#79525e
ASM4079077v1,lp28-4,lp28-4,#79525e
ASM4079078v1,lp28-4,lp28-4,#79525e
ASM4079079v1,lp28-4,lp28-4,#79525e
B418P,lp28-4,lp28-4,#79525e
B500P,lp28-4,lp28-4,#79525e
ESI26H,lp28-4,lp28-4,#79525e
ESI403H,lp28-4,lp28-4,#79525e
PFhe_I_PB_Ill_cons,lp28-4,lp28-4,#79525e
UCT110H,lp28-4,lp28-4,#79525e
UCT113H,lp28-4,lp28-4,#79525e
UCT124H,lp28-4,lp28-4,#79525e
UCT29H,lp28-4,lp28-4,#79525e
UCT30H,lp28-4,lp28-4,#79525e
UCT31H,lp28-4,lp28-4,#79525e
UCT32H,lp28-4,lp28-4,#79525e
UCT92H,lp28-4,lp28-4,#79525e
UCT96H,lp28-4,lp28-4,#79525e
UNY1032P,lp28-4,lp28-4,#79525e
UNY1038P,lp28-4,lp28-4,#79525e
UNY1085P,lp28-4,lp28-4,#79525e
UNY1090P,lp28-4,lp28-4,#79525e
UNY149P,lp28-4,lp28-4,#79525e
UNY169P,lp28-4,lp28-4,#79525e
UNY172P,lp28-4,lp28-4,#79525e
UNY193P,lp28-4,lp28-4,#79525e
UNY208P,lp28-4,lp28-4,#79525e
UNY990P,lp28-4,lp28-4,#79525e
URI101H,lp28-4,lp28-4,#79525e
URI103H,lp28-4,lp28-4,#79525e
URI107H,lp28-4,lp28-4,#79525e
URI111H,lp28-4,lp28-4,#79525e
URI112H,lp28-4,lp28-4,#79525e
URI117H,lp28-4,lp28-4,#79525e
URI118H,lp28-4,lp28-4,#79525e
URI120H,lp28-4,lp28-4,#79525e
URI33H,lp28-4,lp28-4,#79525e
URI34H,lp28-4,lp28-4,#79525e
URI36H,lp28-4,lp28-4,#79525e
URI39H,lp28-4,lp28-4,#79525e
URI40H,lp28-4,lp28-4,#79525e
URI41H,lp28-4,lp28-4,#79525e
URI44H,lp28-4,lp28-4,#79525e
URI46H,lp28-4,lp28-4,#79525e
URI47H,lp28-4,lp28-4,#79525e
URI48H,lp28-4,lp28-4,#79525e
URI56H,lp28-4,lp28-4,#79525e
URI86H,lp28-4,lp28-4,#79525e
URI87H,lp28-4,lp28-4,#79525e
URI89H,lp28-4,lp28-4,#79525e
URI91H,lp28-4,lp28-4,#79525e
URI93H,lp28-4,lp28-4,#79525e
UWI247P,lp28-4,lp28-4,#79525e
UWI248P,lp28-4,lp28-4,#79525e
UWI263P,lp28-4,lp28-4,#79525e
UWI283P,lp28-4,lp28-4,#79525e
XYZ459H,lp28-4,lp28-4,#79525e
ASM215146v1,lp38,lp38,#00fdcf
ASM215150v1,lp38,lp38,#00fdcf
ASM2466215v1,lp38,lp38,#00fdcf
ASM2466217v1,lp38,lp38,#00fdcf
ASM2466219v1,lp38,lp38,#00fdcf
ASM4079074v1,lp38,lp38,#00fdcf
ASM4079075v1,lp38,lp38,#00fdcf
ASM4079076v1,lp38,lp38,#00fdcf
